,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,khani,34,GE,1645511340,94,41.9563,42.9566,277.91,2.65
1,sao filipe,4,IN,1645511341,15,20.5113,76.2129,301.95,1.22
2,waingapu,100,ID,1645511341,76,-9.6567,120.2641,300.14,2.92
3,kapaa,75,US,1645511342,77,22.0752,-159.319,295.33,4.63
4,chuy,29,UY,1645511342,91,-33.6971,-53.4616,291.25,2.88
5,busselton,0,AU,1645511324,47,-33.65,115.3333,305.98,5.55
6,nouadhibou,100,MR,1645511343,73,20.931,-17.0347,290.55,8.37
7,vaini,75,TO,1645511324,94,-21.2,-175.2,300.24,3.09
8,lawton,75,US,1645511071,88,34.6087,-98.3903,289.19,1.54
9,bluff,78,NZ,1645511329,64,-46.6,168.3333,288.6,9.48
10,mataura,100,NZ,1645511321,98,-46.1927,168.8643,288.42,0.19
11,avarua,40,CK,1645511344,83,-21.2078,-159.775,300.18,6.17
12,lagoa,12,PT,1645511345,67,39.05,-27.9833,286.81,1.12
13,sinnamary,100,GF,1645511127,89,5.3833,-52.95,297.9,3.15
14,ribeira grande,0,ES,1645511345,83,42.7461,-8.4439,278.91,1.03
15,plettenberg bay,77,DE,1645511346,94,51.2167,7.8833,276.31,5.16
16,rikitea,19,PF,1645511329,72,-23.1203,-134.9692,298.47,2.13
17,barrow,100,US,1645511322,86,71.2906,-156.7887,266.16,7.2
18,halifax,98,CA,1645511154,83,44.6453,-63.5724,275.18,3.09
19,victoria,100,HK,1645511216,94,22.2855,114.1577,285.0,4.92
20,longyearbyen,40,SJ,1645511347,71,78.2186,15.6401,255.06,1.54
21,pangnirtung,100,CA,1645511347,98,66.1451,-65.7125,241.92,0.88
22,aklavik,100,CA,1645511348,80,68.2191,-135.0107,256.55,10.47
23,east london,100,IS,1645511348,96,65.0,-15.0,275.01,10.35
24,katsuura,46,JP,1645511349,46,35.1333,140.3,282.17,8.43
25,namibe,84,AO,1645511349,84,-15.1961,12.1522,297.32,0.71
26,ushuaia,100,AR,1645511321,93,-54.8,-68.3,282.96,9.26
27,ewo,100,CG,1645511350,81,-0.8725,14.8206,296.99,1.29
28,byron bay,100,US,1645511350,89,44.0327,-92.6455,266.16,7.72
29,san pedro,37,ML,1645511351,9,13.3034,-4.8956,295.37,4.16
30,tessalit,50,ML,1645511351,11,20.1986,1.0114,293.38,3.48
31,qaanaaq,18,GL,1645511352,57,77.484,-69.3632,251.05,3.47
32,yar-sale,100,RU,1645511352,95,66.8333,70.8333,265.78,3.95
33,lebu,36,CL,1645511353,90,-37.6167,-73.65,285.81,4.68
34,clocolan,1,ZA,1645511353,29,-28.9137,27.5656,292.07,1.43
35,usinsk,100,RU,1645511354,95,65.9939,57.5281,264.79,3.5
36,koroni,48,GR,1645511354,78,36.8,21.95,287.63,3.98
37,kirakira,95,SB,1645511355,77,-10.4544,161.9205,301.85,1.61
38,bichena,36,ET,1645511355,39,10.45,38.2,289.94,1.71
39,amparafaravola,100,MG,1645511355,89,-17.5833,48.2167,293.15,3.86
40,cabo san lucas,10,BR,1645511356,79,-8.2833,-35.0333,299.11,1.37
