,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,36,PF,1645576864,73,-23.1203,-134.9692,299.46,5.97
1,punta arenas,71,PH,1645576864,66,8.9897,125.34,301.02,3.03
2,mount gambier,11,GB,1645576864,73,53.6597,-1.8537,279.27,2.68
3,bluff,17,NZ,1645576865,54,-46.6,168.3333,290.82,5.57
4,bengkulu,67,ID,1645576865,79,-3.8004,102.2655,299.02,2.11
5,busselton,100,AU,1645576866,52,-33.65,115.3333,292.64,7.02
6,yulara,0,AU,1645576866,28,-25.2406,130.9889,301.06,6.17
7,bredasdorp,0,ZA,1645576867,88,-34.5322,20.0403,289.42,1.54
8,tacuarembo,0,UY,1645576867,51,-31.7333,-55.9833,293.44,1.89
9,ilulissat,100,GL,1645576867,65,69.2167,-51.1,255.16,4.12
10,richards bay,100,US,1645576868,71,46.8361,-95.9123,252.09,8.75
11,fairbanks,100,US,1645576868,87,64.8378,-147.7164,270.98,1.54
12,thompson,20,CA,1645576869,59,55.7435,-97.8558,250.24,3.09
13,luderitz,0,NA,1645576869,60,-26.6481,15.1594,293.46,5.34
14,kodiak,100,US,1645576870,75,57.79,-152.4072,278.88,2.57
15,prince rupert,73,CA,1645576870,97,52.9669,-108.3847,251.24,1.79
16,norman wells,0,US,1645576595,51,35.2226,-97.4395,271.39,8.23
17,avarua,40,CK,1645576871,74,-21.2078,-159.775,302.18,7.72
18,hermanus,0,ZA,1645576872,73,-34.4187,19.2345,290.32,1.87
19,jos,4,NG,1645576872,17,9.9167,8.9,291.03,1.71
20,oyon,100,PE,1645576873,80,-10.6681,-76.7731,283.09,1.52
21,butaritari,100,KI,1645576873,77,3.0707,172.7902,301.2,8.56
22,whitehorse,75,CA,1645576873,55,60.7161,-135.0538,267.6,4.63
23,tamboril,40,DO,1645576874,88,19.4854,-70.611,296.58,3.09
24,ostrovnoy,100,RU,1645576874,97,68.0531,39.5131,258.89,3.67
25,pueblo,100,US,1645576875,67,38.2545,-104.6091,263.57,1.79
26,chuy,0,UY,1645576875,84,-33.6971,-53.4616,291.87,3.82
27,esperance,56,AU,1645576875,71,-33.8667,121.9,296.06,5.73
28,kavaratti,39,IN,1645576876,65,10.5669,72.642,299.83,1.38
29,port alfred,100,CD,1645576876,84,-7.0349,29.7638,295.1,3.71
30,victoria,100,HK,1645576877,87,22.2855,114.1577,284.96,4.47
31,albany,100,US,1645576642,94,42.6001,-73.9662,286.83,1.34
32,mataura,10,NZ,1645576877,43,-46.1927,168.8643,290.64,2.23
33,atuona,12,PF,1645576878,73,-9.8,-139.0333,299.07,7.8
34,ayan,40,RU,1645576878,70,56.45,138.1667,261.54,3.07
35,isabela,100,PH,1645576879,73,6.7085,121.9711,299.18,1.3
36,inirida,64,CO,1645576879,69,3.8653,-67.9239,300.09,0.38
37,nikolskoye,98,RU,1645576880,96,59.7035,30.7861,270.09,3.02
38,katsuura,97,JP,1645576880,41,35.1333,140.3,278.23,4.62
39,san ramon,88,ML,1645576881,6,13.3034,-4.8956,298.23,4.24
40,tiksi,99,RU,1645576881,93,71.6872,128.8694,253.62,4.4
41,pisco,100,PE,1645576882,73,-13.7,-76.2167,297.18,2.57
42,fortuna,100,US,1645576882,65,40.5982,-124.1573,282.0,7.2
43,faya,5,SA,1645576882,60,18.3851,42.4509,286.21,2.0
44,haverhill,100,US,1645576883,94,42.7762,-71.0773,285.45,1.54
45,humboldt,61,US,1645576883,85,40.6665,-123.9178,277.11,2.88
46,novyy urgal,0,RU,1645576884,65,45.0072,38.9819,281.54,2.0
47,mahebourg,75,MU,1645576884,94,-20.4081,57.7,299.4,3.6
48,shimoda,69,JP,1645576885,57,34.6667,138.95,279.35,2.13
49,sitka,100,US,1645576885,65,57.0531,-135.33,276.09,2.06
50,castro,26,BR,1645576885,93,-24.7911,-50.0119,291.31,0.82
51,kapaa,20,US,1645576886,71,22.0752,-159.319,300.14,5.66
52,wakkanai,20,JP,1645576886,74,45.4094,141.6739,268.14,9.77
53,magdagachi,53,RU,1645576887,67,53.45,125.8,263.79,3.5
54,kirakira,97,SB,1645576887,73,-10.4544,161.9205,302.2,2.04
55,brae,88,GB,1645576888,93,60.3964,-1.353,279.1,12.39
56,lorengau,100,PG,1645576888,69,-2.0226,147.2712,302.27,3.02
57,constitucion,100,CL,1645576856,89,-35.3333,-72.4167,287.26,1.48
58,qaanaaq,75,GL,1645576889,50,77.484,-69.3632,248.84,2.47
59,ushuaia,75,AR,1645576710,71,-54.8,-68.3,282.96,9.26
60,ondangwa,98,NA,1645576889,74,-17.9167,15.95,295.71,1.77
61,provideniya,100,RU,1645576890,94,64.3833,-173.3,269.3,2.29
62,finnsnes,100,NO,1645576890,93,69.2296,17.9811,262.23,2.83
63,marawi,100,PH,1645576890,51,7.9986,124.2928,293.51,1.21
64,elizabeth city,100,US,1645576759,90,40.664,-74.2107,289.46,6.71
65,san patricio,88,ML,1645576891,6,13.3034,-4.8956,298.23,4.24
66,ajdabiya,6,LY,1645576891,54,30.7554,20.2263,286.23,9.24
67,plettenberg bay,54,DE,1645576892,88,51.2167,7.8833,278.88,4.95
68,torbay,75,CA,1645576892,69,47.6666,-52.7314,267.75,2.06
69,rafaela,0,AR,1645576893,41,-31.2503,-61.4867,298.7,0.45
70,kahului,20,US,1645576894,67,20.8947,-156.47,303.74,8.23
71,tibati,100,CM,1645576894,22,6.4667,12.6333,292.7,1.59
72,chokurdakh,91,RU,1645576894,96,70.6333,147.9167,243.46,4.42
73,vila franca do campo,13,PT,1645576895,67,42.0304,-8.1588,280.64,1.97
74,georgetown,20,MY,1645576755,98,5.4112,100.3354,299.11,1.03
75,sept-iles,100,CA,1645576856,83,50.2001,-66.3821,255.44,5.66
76,cape town,100,CL,1645576896,64,-36.413,-71.9028,287.64,1.57
77,heswall,75,GB,1645576896,72,53.3273,-3.0965,280.93,3.6
78,arraial do cabo,8,BR,1645576897,94,-22.8362,-46.646,298.82,1.8
79,dikson,57,RU,1645576897,100,73.5069,80.5464,248.47,3.63
80,moron,0,AR,1645576898,77,-34.6534,-58.6198,296.47,2.66
81,east london,100,IS,1645576898,86,65.0,-15.0,268.01,1.39
82,pangnirtung,99,CA,1645576899,97,66.1451,-65.7125,240.38,2.17
83,alofi,75,NU,1645576899,21,-19.0595,-169.9187,299.09,4.12
84,egvekinot,98,RU,1645576900,90,66.3167,-179.1667,251.87,2.36
85,barrow,100,US,1645576901,80,71.2906,-156.7887,269.16,9.77
86,vaini,75,TO,1645576901,84,-21.2,-175.2,302.24,3.6
87,yellowknife,20,CA,1645576902,76,62.456,-114.3525,248.87,5.66
88,salalah,0,OM,1645576902,16,17.0151,54.0924,298.2,5.66
89,sal rei,57,JO,1645576902,53,32.5694,35.9119,284.49,2.41
90,saint-philippe,100,RE,1645576903,86,-21.3585,55.7679,298.92,6.89
91,predivinsk,100,RU,1645576903,93,57.0669,93.4378,262.38,1.75
92,port hedland,100,CD,1645576904,84,-7.0349,29.7638,295.1,3.71
93,carnarvon,0,AU,1645576905,74,-24.8667,113.6333,300.19,8.23
94,sao jose da coroa grande,0,IN,1645576905,27,20.5113,76.2129,293.72,2.88
95,bambous virieux,98,MU,1645576906,91,-20.2567,57.4061,298.78,3.55
96,liverpool,75,GB,1645576749,78,53.4106,-2.9779,281.32,3.6
97,hakkari,99,TR,1645576906,98,37.5833,44.1667,272.5,0.64
98,camacha,40,PT,1645576907,72,33.0833,-16.3333,290.57,11.83
99,portland,20,US,1645576706,44,45.5234,-122.6762,276.71,10.8
100,cidreira,3,BR,1645576907,82,-30.1811,-50.2056,295.88,2.66
101,bathsheba,40,BB,1645576908,78,13.2167,-59.5167,299.49,6.17
102,tucuman,100,AR,1645576902,88,-26.8241,-65.2226,293.15,1.54
103,ketchikan,100,US,1645576908,40,55.3422,-131.6461,274.14,2.57
104,hamilton,100,US,1645576700,94,39.1834,-84.5333,288.81,6.69
